,product_type,description
128,contour,medley matte shimmery color creates flush color dazzling glow every skin tone use highlight enhance brighten bronze mosaic color blend beautifully magical result
129,contour,baked sheer perfection luxurious formula packed full pigment provide natural glow highlight face uniquely designed used wet dry depending upon makeup statement want make used dry brush look light fresh want color problem apply wet makeup sponge intensity
130,contour,get perfect sun kissed glow complementing color combination bronzer blusher combo blush bronzer pairing feature flattering natural looking hue shade choose easier ever achieve impeccable springtime summertime glow
131,contour,high definition lightweight blush blend evenly vibrant silky blush delivers beautiful flush color paraben free
132,contour,treat cheek radiant flush color ombr blush new gradient blush inspired ombr trend must formula feature two silky color blended one perfectly coordinated shade combo like meant
133,contour,add touch color creamy extremely pigmented stick blush available eight rich shade apply receive perfect glow every day
134,contour,pressed powder blush delivers sheer silky color glide easily blend beautifully creates natural glow formula richly pigmented last hour
135,foundation,skin imperfection beware come covering discoloration new gotcha covered concealer pencil mess around available blendable shade luxurious concealer master spot concealing
136,foundation,color match skin using perfecting correcting palette conceal correct contour six shade choose set cover problem spot even imperfection accentuate best feature flash use buildable color combine create ideal tone
137,eye_makeup,wonder pencil essential pencil fulfills beauty desire conquer critical make task one product conceal flaw blemish creamy precision line lip lipstick bleeding fading brighten eye along water line wonder never cease wonder pencil bag
138,foundation,serious solution one beauty challenging problem fancy name product counted job product glide without looking thick obvious subtle hint orange counteracts appearance dark circle natural skin toned pigment work unison provide ultimate coverage
139,foundation,gotcha covered concealer always back available gorgeous shade waterproof full coverage concealer effectively cover discoloration imperfection without creasing caking infused coconut oil highly blendable concealer also leaf face healthy looking glow
140,foundation,treat face ultimate concealer palette six color correcting shade customizable create ideal shade cover imperfection lightweight formula glide ultra smooth finish leaf skin feeling soft supple
141,foundation,obscure imperfection blur away problem area one concealer jar available shade accommodate even wider range skin tone creamy formula stand villain unwelcome imperfection vengeance
142,foundation,available shade accommodate even wider range skin tone best selling hd studio photogenic concealer effectively cover imperfection discoloration eye circle without ever looking cakey obvious result beautiful natural looking coverage count
143,foundation,lightweight hint sheer color hydrating formula make skin feel softer smoother dewy natural glow provides makeup look feel yet cover imperfection natural hydrating touch
144,foundation,essential medium full coverage compact feature deeper crescent color hint pearl blend together customize look perfection year round
145,foundation,perfect makeup look bb cream specially formulated without oil mineral infused formula hydrate skin help complexion appear smoother wear primer foundation alone touch lightweight color
146,foundation,something hide got thing available five shade accommodate wider range skin tone nyx professional makeup invincible fullest coverage foundation offer exceptional coverage natural looking finish incredibly high pigment load super power hide even challenging cover ups including skin discoloration finished look soft matte beautiful flawless
147,foundation,portable buildable mineral stick foundation ideal move luxurious formula easy apply extremely blendable allows flawless highlighting contouring also use versatile foundation entire face isolated area need little extra attention creamy foundation available six new shade
148,foundation,available gorgeous shade stay matte flat liquid foundation provides full coverage mineral enriched matte finish accommodates skin tone ever oil free water based formula perfect day nighttime wear
149,foundation,want matte finish help achieve flawless looking complexion available gorgeous shade stay matte flat powder foundation provides perfect finish flatter skin tone ever look naturally flawless minimal effort
150,foundation,flawless looking skin longer celebrity model available blendable shade hd studio photogenic foundation us light diffusing technology enhance appearance silky smooth skin achieve picture perfect look anytime spotlight
151,foundation,weightless pressed powder offer buildable coverage matte finish available five silky shade hydra touch powder foundation applied dry wet innovative formula also contains moisturizing botanical extract leave skin looking soft fresh
152,foundation,custom shade pro foundation mixer away new shade mixer designed adjust tone shade finish liquid foundation resulting truly perfect match
154,lipstic,bring party pout new lip day liquid lip liner available ten gorgeously vivid shade versatile lip liner absolute must have anyone looking take lip artistry skill next level
155,lipstic,draw pout stroke rich color slide lip pencil available new shade bold blue green deep nude pastel lilac like much loved eyeliner named waterproof lip pencil glide super smooth delivers highly pigmented matte finish line lip fill em defined enriched lip color using incredible shade slide lip pencil sharpened sharpener opening small pencil get nyx professional makeup sharpener
156,lipstic,love lip create perfect pout creamy richly pigmented liner easy twist pencil renowned staying power available irresistible shade
157,lipstic,buh bye creamy lip color see ya shimmery shade velvety matte lip absolute must got goodie help get done right suede matte lip liner available richly pigmented hue pencil created color nyx professional makeup fan faves mind liquid suede cream lipstick matte lipstick soft matte lip cream exact every shade go super smooth provides perfect base much loved matte lippies
158,lipstic,slim trim never prim lip pencil come variety dashing shade auburn orange traffic stopping red buttery long wearing lip liner formula go easily resists bleeding
159,lipstic,quality make person beautiful passion confidence fearlessness name available six velvety matte shade new luv loud liquid lipstick capture attribute nyx professional makeup find truly beautiful gift one two six lippies friend rock amazing quality inspires live luv loud
160,lipstic,cast spell neutral lippies swipe wicked v amped lip top coat infused shea butter vitamin e glossy pencil moisturizes transforming light lip color deep vampy shade
161,lipstic,get ready look seriously pretty pink natural extreme pick favorite shade simply pink lip cream rosy glossy finish
162,lipstic,classic red pout never go style simply red lip cream collection give load color option varying deep bright pure red go wrong
163,lipstic,bare beautiful simply nude lip cream available six earthy shade swipe velvety moisturizing cream leave lip subtle satin finish
164,lipstic,fantasize color neon pastel lippies creamiest shade ever use cruelty free formula packed pigment satin matte finish long wearing resilience
165,lipstic,match made makeup heaven new element lipstick metal collection pair perfectly sparkle inspired eyeshadow palette three exclusive lip color come seriously rich shade finish metallic gold glossy deep berry metallic bronze encased sleek black lacquered case lipstick luxurious magnetic closure seal click
166,contour,indulge craving whipped lip cheek souffl two one mousse used precisely line lip apple cheek soft natural flush achieve delicious wash color matte finish using creamy multipurpose formula
167,lipstic,take walk wicked side jewel toned lippies available shimmering shade velvety smooth dazzling metallic finish richly pigmented lipstick leave lip ultimate spellbinding look
168,lipstic,vamp look instantly smooth smoldering lip cream wear six bewitching shade brew little beauty magic
169,lipstic,match made makeup heaven new element lipstick water collection pair perfectly heat inspired eyeshadow palette three exclusive lip color come seriously rich shade finish metallic black violet matte true nude glossy plum encased sleek black lacquered case lipstick luxurious magnetic closure seal click
170,lipstic,match made makeup heaven new element lipstick wind collection pair perfectly breeze inspired eyeshadow palette three exclusive lip color come seriously rich shade finish glossy nude matte navy blue metallic brown blue pearl encased sleek black lacquered case lipstick luxurious magnetic closure seal click
171,lipstic,match made makeup heaven new element lipstick fire collection pair perfectly heat inspired eyeshadow palette three exclusive lip color come seriously rich shade finish matte red glossy black matte warm mauve encased sleek black lacquered case lipstick luxurious magnetic closure seal click
174,lipstic,match made makeup heaven new element lipstick earth collection pair perfectly nature inspired eyeshadow palette three exclusive lip color come seriously rich shade finish deep metallic copper glossy deep berry matte brown encased sleek black lacquered case lipstick luxurious magnetic closure seal click
